,,remmittance,,,,,,
2000,Jan,686.441,,,,,,
,Feb,435.494,,,,,,
,Mar,480.821,,,,,,
,Apr,452.512,,,,,,
,May,528.69,,,,,,
,Jun,516.493,,,,,,
,Jul,502.103,,,,,,
,Aug,510.806,,,,,,
,Sep,490.843,,,,,,
,Oct,497.517,,,,,,
,Nov,428.471,,,,,,
,Dec,520.259,,,,,,
2001,Jan,456.151,,,,,,
,Feb,432.961,,,,,,
,Mar,465.307,,,,,,
,Apr,510.153,,,,,,
,May,537.827,,,,,,
,Jun,489.641,,,,,,
,Jul,524.004,,,,,,
,Aug,522.367,,,,,,
,Sep,488.092,,,,,,
,Oct,551.663,,,,,,
,Nov,478.848,,,,,,
,Dec,574.257,,,,,,
2002,Jan,541.486,,,,,,
,Feb,524.343,,,,,,
,Mar,596.286,,,,,,
,Apr,662.729,,,,,,
,May,645.21,,,,,,
,Jun,567.171,,,,,,
,Jul,622.793,,,,,,
,Aug,578.651,,,,,,
,Sep,551.032,,,,,,
,Oct,555.089,,,,,,
,Nov,520.595,,,,,,
,Dec,520.771,,,,,,
2003,Jan,624.019,,,,,,
,Feb,543.558,,,,,,
,Mar,620.76,,,,,,
,Apr,590.718,,,,,,
,May,669.543,,,,,,
,Jun,626.67,,,,,,
,Jul,661.234,,,,,,
,Aug,587.036,,,,,,
,Sep,642.97,,,,,,
,Oct,694.43,,,,,,
,Nov,579.286,,,,,,
,Dec,738.234,,,,,,
2004,Jan,624.267,,,,,,
,Feb,609.116,,,,,,
,Mar,724.46,,,,,,
,Apr,663.517,,,,,,
,May,693.34,,,,,,
,Jun,708.019,,,,,,
,Jul,703.915,,,,,,
,Aug,743.554,,,,,,
,Sep,734.766,,,,,,
,Oct,741.504,,,,,,
,Nov,734.786,,,,,,
,Dec,869.127,,,,,,
2005,Jan,786.568,,,,,,
,Feb,775.855,,,,,,
,Mar,892.49,,,,,,
,Apr,895.479,,,,,,
,May,878.959,,,,,,
,Jun,935.38,,,,,,
,Jul,884.605,,,,,,
,Aug,972.943,,,,,,
,Sep,942.443,,,,,,
,Oct,867.182,,,,,,
,Nov,895.234,,,,,,
,Dec,961.867,,,,,,
2006,Jan,916.612,,,,,,
,Feb,865.794,,,,,,
,Mar,1031.991,,,,,,
,Apr,898.512,,,,,,
,May,1141.582,,,,,,
,Jun,1104.376,,,,,,
,Jul,1047.918,,,,,,
,Aug,1091.383,,,,,,
,Sep,1013.969,,,,,,
,Oct,1185.696,,,,,,
,Nov,1144.01,,,,,,
,Dec,1319.465,,,,,,
2007,Jan,1099.354,,,,,,
,Feb,1085.544,,,,,,
,Mar,1304.847,,,,,,
,Apr,1191.54,,,,,,
,May,1237.14,,,,,,
,Jun,1115.753,,,,,,
,Jul,1096.558,,,,,,
,Aug,1206.942,,,,,,
,Sep,1139.845,,,,,,
,Oct,1388.459,,,,,,
,Nov,1186.97,,,,,,
,Dec,1396.976,,,,,,
2008,Jan,1264.036,,,,,,
,Feb,1258.638,,,,,,
,Mar,1427.807,,,,,,
,Apr,1410.21,,,,,,
,May,1429.832,,,,,,
,Jun,1450.838,,,,,,
,Jul,1366.796,,,,,,
,Aug,1332.023,,,,,,
,Sep,1332.912,,,,,,
,Oct,1434.726,,,,,,
,Nov,1311.322,,,,,,
,Dec,1407.714,,,,,,
2009,Jan,1265.515,,,,,,
,Feb,1320.032,,,,,,
,Mar,1471.482,,,,,,
,Apr,1441.741,,,,,,
,May,1482.175,,,,,,
,Jun,1498.737,,,,,,
,Jul,1494.038,,,,,,
,Aug,1369.084,,,,,,
,Sep,1446.917,,,,,,
,Oct,1531.294,,,,,,
,Nov,1459.162,,,,,,
,Dec,1567.875,,,,,,
2010,Jan,1372.788,,,,,,
,Feb,1413.127,,,,,,
,Mar,1553.492,,,,,,
,Apr,1520.2,,,,,,
,May,1578.938,,,,,,
,Jun,1623.638,,,,,,
,Jul,1616.778,,,,,,
,Aug,1502.887,,,,,,
,Sep,1600.554,,,,,,
,Oct,1673.725,,,,,,
,Nov,1612.744,,,,,,
,Dec,1694.118,,,,,,
2011,Jan,1476.933,,,,,,
,Feb,1500.91,,,,,,
,Mar,1616.521,,,,,,
,Apr,1615.888,,,,,,
,May,1688.207,,,,,,
,Jun,1737.32,,,,,,
,Jul,1715.338,,,,,,
,Aug,1670.072,,,,,,
,Sep,1735.639,,,,,,
,Oct,1777.189,,,,,,
,Nov,1783.317,,,,,,
,Dec,1799.658,,,,,,
2012,Jan,1557.084,,,,,,
,Feb,1587.409,,,,,,
,Mar,1697.765,,,,,,
,Apr,1701.078,,,,,,
,May,1773.628,,,,,,
,Jun,1810.946,,,,,,
,Jul,1808.584,,,,,,
,Aug,1796.51,,,,,,
,Sep,1837.977,,,,,,
,Oct,1927.569,,,,,,
,Nov,1918.254,,,,,,
,Dec,1974.528,,,,,,
2013,Jan,1698.661601,,,,,,
,Feb,1700.101658,,,,,,
,Mar,1768.424775,,,,,,
,Apr,1819.145435,,,,,,
,May,1879.00687,,,,,,
,Jun,1934.763722,,,,,,
,July,1946.023524,,,,,,
,Aug,1937.976604,,,,,,
,Sep,1952.805169,,,,,,
,Oct,2083.233249,,,,,,
,Nov,2084.451645,,,,,,
,Dec,2179.440557,,,,,,
2014,Jan,1865.391676,,,,,,
,Feb,1790.882028,,,,,,
,Mar,2062.611417,,,,,,
,Apr,1998.097466,,,,,,
,May,1959.364055,,,,,,
,Jun,2008.744231,,,,,,
,Jul,2124.822905,,,,,,
,Aug,2007.051675,,,,,,
